A	B
485.9305	-0.19354
485.931	-0.19344
485.9315	-0.1937
485.932	-0.19364
485.9325	-0.1938
485.933	-0.19419
485.9335	-0.19317
485.934	-0.19364
485.9345	-0.19363
485.935	-0.19389
485.9355	-0.19353
485.936	-0.19335
485.9365	-0.19321
485.937	-0.19315
485.9375	-0.19358
485.938	-0.19358
485.9385	-0.19316
485.939	-0.19322
485.9395	-0.19341
485.94	-0.19366
485.9405	-0.19346
485.941	-0.19328
485.9415	-0.19302
485.942	-0.19348
485.9425	-0.19346
485.943	-0.19355
485.9435	-0.19338
485.944	-0.19295
485.9445	-0.19368
485.945	-0.19313
485.9455	-0.19329
485.946	-0.19352
485.9465	-0.19323
485.947	-0.19347
485.9475	-0.19285
485.948	-0.19305
485.9485	-0.1936
485.949	-0.19328
485.9495	-0.1929
485.95	-0.19341
485.9505	-0.19344
485.951	-0.19318
485.9515	-0.19305
485.952	-0.19347
485.9525	-0.19299
485.953	-0.19376
485.9535	-0.19302
485.954	-0.19342
485.9545	-0.19307
485.955	-0.19322
485.9555	-0.19292
485.956	-0.19288
485.9565	-0.19323
485.957	-0.19266
485.9575	-0.19335
485.958	-0.19332
485.9585	-0.19316
485.959	-0.19317
485.9595	-0.19278
485.96	-0.19305
485.9605	-0.19338
485.961	-0.19314
485.9615	-0.19316
485.962	-0.19299
485.9625	-0.1933
485.963	-0.19297
485.9635	-0.193
485.964	-0.19296
485.9645	-0.19278
485.965	-0.19286
485.9655	-0.19298
485.966	-0.19269
485.9665	-0.19297
485.967	-0.19282
485.9675	-0.1928
485.968	-0.19314
485.9685	-0.19296
485.969	-0.19322
485.9695	-0.19309
485.97	-0.19272
485.9705	-0.19323
485.971	-0.19287
485.9715	-0.19322
485.972	-0.19268
485.9725	-0.19289
485.973	-0.19308
485.9735	-0.19288
485.974	-0.19307
485.9745	-0.19267
485.975	-0.19302
485.9755	-0.1929
485.976	-0.19266
485.9765	-0.19324
485.977	-0.19303
485.9775	-0.19312
485.978	-0.19267
485.9785	-0.19296
485.979	-0.19286
485.9795	-0.1929
485.98	-0.19288
485.9805	-0.19285
485.981	-0.19256
485.9815	-0.19281
485.982	-0.19295
485.9825	-0.19277
485.983	-0.19282
485.9835	-0.19275
485.984	-0.19296
485.9845	-0.19272
485.985	-0.1929
485.9855	-0.19285
485.986	-0.19269
485.9865	-0.19274
485.987	-0.19297
485.9875	-0.19274
485.988	-0.19293
485.9885	-0.19296
485.989	-0.19278
485.9895	-0.19282
485.99	-0.19264
485.9905	-0.19309
485.991	-0.19285
485.9915	-0.19292
485.992	-0.19305
485.9925	-0.19305
485.993	-0.19291
485.9935	-0.19273
485.994	-0.19302
485.9945	-0.19279
485.995	-0.19291
485.9955	-0.19279
485.996	-0.19291
485.9965	-0.19299
485.997	-0.19288
485.9975	-0.19283
485.998	-0.19309
485.9985	-0.1927
485.999	-0.19281
485.9995	-0.19269
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
486	-0.19267
