A	B
433.8595	-0.19321
433.86	-0.19295
433.8605	-0.19328
433.861	-0.19312
433.8615	-0.19341
433.862	-0.19328
433.8625	-0.19391
433.863	-0.19351
433.8635	-0.19297
433.864	-0.19327
433.8645	-0.19323
433.865	-0.19361
433.8655	-0.19339
433.866	-0.19314
433.8665	-0.19327
433.867	-0.19327
433.8675	-0.19288
433.868	-0.19289
433.8685	-0.1934
433.869	-0.19305
433.8695	-0.19304
433.87	-0.19336
433.8705	-0.19356
433.871	-0.19338
433.8715	-0.19322
433.872	-0.1931
433.8725	-0.19355
433.873	-0.19366
433.8735	-0.19368
433.874	-0.19313
433.8745	-0.19306
433.875	-0.19302
433.8755	-0.19324
433.876	-0.19294
433.8765	-0.19333
433.877	-0.19302
433.8775	-0.19379
433.878	-0.19317
433.8785	-0.19299
433.879	-0.19326
433.8795	-0.19308
433.88	-0.19291
433.8805	-0.19329
433.881	-0.19314
433.8815	-0.19299
433.882	-0.19308
433.8825	-0.19313
433.883	-0.19324
433.8835	-0.19308
433.884	-0.19278
433.8845	-0.19308
433.885	-0.19338
433.8855	-0.1933
433.886	-0.19264
433.8865	-0.193
433.887	-0.19313
433.8875	-0.1928
433.888	-0.19307
433.8885	-0.19278
433.889	-0.19327
433.8895	-0.19278
433.89	-0.1931
433.8905	-0.19298
433.891	-0.19271
433.8915	-0.19317
433.892	-0.19292
433.8925	-0.19303
433.893	-0.19308
433.8935	-0.19299
433.894	-0.19321
433.8945	-0.19294
433.895	-0.19281
433.8955	-0.19319
433.896	-0.19312
433.8965	-0.1928
433.897	-0.19285
433.8975	-0.1934
433.898	-0.19318
433.8985	-0.19305
433.899	-0.19276
433.8995	-0.19264
433.9	-0.1928
