A	B
409.8765	-0.3743
409.877	-0.37215
409.8775	-0.38035
409.878	-0.37636
409.8785	-0.37074
409.879	-0.38151
409.8795	-0.37468
409.88	-0.36982
409.8805	-0.37147
409.881	-0.38147
409.8815	-0.37738
409.882	-0.36855
409.8825	-0.36837
409.883	-0.36666
409.8835	-0.36459
409.884	-0.35886
409.8845	-0.35129
409.885	-0.34975
409.8855	-0.34284
409.886	-0.34298
409.8865	-0.33906
409.887	-0.334
409.8875	-0.32788
409.888	-0.32404
409.8885	-0.31256
409.889	-0.31056
409.8895	-0.30721
409.89	-0.29986
409.8905	-0.29393
409.891	-0.28648
409.8915	-0.28719
409.892	-0.28817
409.8925	-0.27579
409.893	-0.27601
409.8935	-0.26963
409.894	-0.26278
409.8945	-0.26024
409.895	-0.2589
409.8955	-0.25153
409.896	-0.25095
409.8965	-0.24699
409.897	-0.24511
409.8975	-0.24029
409.898	-0.241
409.8985	-0.23611
409.899	-0.23652
409.8995	-0.23293
409.9	-0.22874
409.9005	-0.22595
409.901	-0.22643
409.9015	-0.22172
409.902	-0.22113
409.9025	-0.21883
409.903	-0.2186
409.9035	-0.21686
409.904	-0.21357
409.9045	-0.21294
409.905	-0.21541
409.9055	-0.21051
409.906	-0.21115
409.9065	-0.20767
409.907	-0.20759
409.9075	-0.2067
409.908	-0.20506
409.9085	-0.20406
409.909	-0.20499
409.9095	-0.20268
409.91	-0.20325
409.9105	-0.20255
409.911	-0.20114
409.9115	-0.20255
409.912	-0.20139
409.9125	-0.19912
409.913	-0.19984
409.9135	-0.19919
409.914	-0.19859
409.9145	-0.19761
409.915	-0.19705
409.9155	-0.19732
409.916	-0.19688
409.9165	-0.19607
409.917	-0.19752
409.9175	-0.19709
409.918	-0.19693
409.9185	-0.19605
409.919	-0.19627
409.9195	-0.19627
409.92	-0.19607
409.9205	-0.19547
409.921	-0.19559
409.9215	-0.19501
409.922	-0.19458
409.9225	-0.19521
409.923	-0.19463
409.9235	-0.19517
409.924	-0.19455
409.9245	-0.19476
409.925	-0.1941
409.9255	-0.19413
409.926	-0.1944
409.9265	-0.19441
409.927	-0.19416
409.9275	-0.19429
409.928	-0.19434
409.9285	-0.19438
409.929	-0.19433
409.9295	-0.19432
409.93	-0.19377
409.9305	-0.19401
409.931	-0.194
409.9315	-0.19444
409.932	-0.19372
409.9325	-0.19385
409.933	-0.19389
409.9335	-0.19316
409.934	-0.19385
409.9345	-0.19345
409.935	-0.19416
409.9355	-0.19347
409.936	-0.19415
409.9365	-0.19381
409.937	-0.19419
409.9375	-0.19339
409.938	-0.19383
409.9385	-0.19303
409.939	-0.19324
409.9395	-0.19367
409.94	-0.19369
409.9405	-0.19327
409.941	-0.19321
409.9415	-0.19399
409.942	-0.19373
409.9425	-0.19324
409.943	-0.19327
409.9435	-0.19331
409.944	-0.19319
409.9445	-0.19316
409.945	-0.19322
409.9455	-0.19314
409.946	-0.19352
409.9465	-0.19307
409.947	-0.19321
409.9475	-0.19316
409.948	-0.19321
409.9485	-0.193
409.949	-0.1931
409.9495	-0.19285
409.95	-0.19283
409.9505	-0.19356
409.951	-0.19292
409.9515	-0.19307
409.952	-0.19296
409.9525	-0.19309
409.953	-0.19324
409.9535	-0.19333
409.954	-0.19286
409.9545	-0.193
409.955	-0.19313
409.9555	-0.19338
409.956	-0.19337
409.9565	-0.19302
409.957	-0.19292
409.9575	-0.19296
409.958	-0.19302
409.9585	-0.1931
409.959	-0.19278
409.9595	-0.19306
409.96	-0.19308
409.9605	-0.19303
409.961	-0.19276
409.9615	-0.1927
409.962	-0.19271
409.9625	-0.19293
409.963	-0.19264
409.9635	-0.19281
409.964	-0.19275
409.9645	-0.19264
409.965	-0.19289
409.9655	-0.19283
409.966	-0.19312
409.9665	-0.19337
409.967	-0.19307
409.9675	-0.19276
409.968	-0.19246
409.9685	-0.19283
409.969	-0.19284
409.9695	-0.19285
409.97	-0.19285
409.9705	-0.19305
