	218.016	-2.875	-0.473	2.385	2.430	1.108
	219.016	-3.201	-0.160	3.025	2.430	1.105
	220.016	-3.281	-0.156	3.112	2.430	1.132
	221.016	-3.322	-0.152	3.156	2.430	1.150
	222.016	-3.330	-0.150	3.167	2.430	1.155
	223.016	-3.329	-0.147	3.168	2.430	1.149
	224.016	-3.297	-0.145	3.139	2.430	1.133
	225.016	-3.203	-0.148	3.040	2.430	1.103
	226.016	-2.878	-0.484	2.377	2.430	1.107
	227.016	-2.571	-0.814	1.737	2.430	1.113
	228.016	-2.353	-1.051	1.282	2.430	1.116
	229.016	-2.155	-1.256	0.875	2.430	1.115
	230.016	-1.991	-1.404	0.564	2.430	1.112
	231.016	-1.836	-1.544	0.266	2.430	1.109
	232.016	-1.725	-1.662	0.036	2.430	1.108
	233.016	-1.628	-1.771	-0.171	2.430	1.109
	234.016	-1.517	-1.893	-0.403	2.430	1.111
	235.016	-1.354	-2.076	-0.752	2.430	1.114
	236.016	-1.161	-2.284	-1.154	2.430	1.115
	237.016	-0.899	-2.575	-1.709	2.430	1.113
	238.016	-0.620	-2.874	-2.289	2.430	1.109
	239.031	-0.357	-3.155	-2.836	2.430	1.112
	240.031	-0.356	-3.195	-2.876	2.430	1.137
	241.031	-0.355	-3.224	-2.906	2.430	1.155
	242.031	-0.355	-3.242	-2.925	2.430	1.158
	243.031	-0.354	-3.238	-2.921	2.430	1.153
	244.031	-0.354	-3.161	-2.845	2.430	1.135
	245.031	-0.354	-3.062	-2.746	2.430	1.108
	246.031	-0.682	-2.727	-2.080	2.430	1.111
	247.031	-0.966	-2.460	-1.526	2.430	1.116
	248.031	-1.218	-2.227	-1.040	2.430	1.119
	249.031	-1.408	-2.051	-0.673	2.430	1.119
	250.031	-1.587	-1.863	-0.303	2.430	1.116
	251.031	-1.722	-1.727	-0.031	2.430	1.113
	252.031	-1.842	-1.608	0.207	2.430	1.111
	253.031	-1.931	-1.519	0.387	2.430	1.111
	254.031	-2.038	-1.404	0.610	2.430	1.113
	255.031	-2.183	-1.249	0.909	2.430	1.116
	256.031	-2.381	-1.046	1.314	2.430	1.118
	257.047	-2.593	-0.826	1.746	2.430	1.118
	258.047	-2.840	-0.565	2.257	2.430	1.115
	259.047	-3.090	-0.287	2.786	2.430	1.111
	260.047	-3.248	-0.158	3.076	2.430	1.126
	261.047	-3.317	-0.155	3.148	2.430	1.147
	262.047	-3.369	-0.152	3.203	2.430	1.158
	263.047	-3.376	-0.149	3.213	2.430	1.159
	264.047	-3.346	-0.147	3.186	2.430	1.149
	265.047	-3.282	-0.144	3.123	2.430	1.128
	266.047	-3.172	-0.214	2.943	2.430	1.109
	267.047	-2.858	-0.565	2.275	2.430	1.114
	268.047	-2.642	-0.801	1.822	2.430	1.118
	269.047	-2.397	-1.055	1.321	2.430	1.121
	270.047	-2.182	-1.280	0.879	2.430	1.121
	271.047	-2.018	-1.428	0.566	2.430	1.118
	272.047	-1.884	-1.565	0.294	2.430	1.115
	273.047	-1.798	-1.654	0.119	2.430	1.114
	274.047	-1.687	-1.747	-0.087	2.430	1.113
	275.047	-1.573	-1.853	-0.308	2.430	1.115
	276.047	-1.434	-1.997	-0.591	2.430	1.117
	277.047	-1.283	-2.161	-0.908	2.430	1.120
	278.047	-1.096	-2.352	-1.287	2.430	1.121
	279.047	-0.867	-2.582	-1.748	2.430	1.119
	280.047	-0.580	-2.880	-2.335	2.430	1.114
	281.047	-0.357	-3.145	-2.826	2.430	1.118
	282.047	-0.356	-3.228	-2.909	2.430	1.143
	283.047	-0.356	-3.278	-2.959	2.430	1.156
	284.047	-0.355	-3.279	-2.962	2.430	1.161
	285.047	-0.354	-3.270	-2.953	2.430	1.157
	286.047	-0.354	-3.182	-2.866	2.431	1.119
	287.219	-0.354	-3.165	-2.849	2.430	1.114
	288.250	-0.624	-2.871	-2.283	2.430	1.113
	289.250	-0.921	-2.541	-1.652	2.430	1.118
	290.250	-1.141	-2.309	-1.199	2.430	1.122
	291.250	-1.353	-2.091	-0.767	2.430	1.124
	292.250	-1.523	-1.921	-0.426	2.430	1.122
	293.250	-1.643	-1.792	-0.177	2.430	1.119
	294.250	-1.748	-1.679	0.041	2.431	1.117
	295.250	-1.850	-1.563	0.261	2.430	1.116
	296.250	-1.964	-1.460	0.479	2.430	1.116
	297.250	-2.084	-1.358	0.703	2.430	1.118
	298.250	-2.219	-1.242	0.954	2.430	1.121
	299.250	-2.374	-1.087	1.266	2.431	1.123
	300.250	-2.567	-0.883	1.663	2.430	1.123
	301.250	-2.806	-0.629	2.158	2.431	1.120
	302.250	-3.081	-0.345	2.719	2.430	1.116
	303.250	-3.272	-0.162	3.097	2.431	1.122
	304.250	-3.326	-0.156	3.156	2.431	1.144
	305.250	-3.348	-0.154	3.181	2.431	1.158
	306.250	-3.358	-0.150	3.194	2.431	1.163
	307.250	-3.364	-0.149	3.202	2.431	1.160
	308.250	-3.347	-0.147	3.186	2.431	1.148
	309.250	-3.294	-0.145	3.135	2.431	1.127
	310.250	-3.128	-0.268	2.844	2.431	1.113
	311.250	-2.849	-0.560	2.272	2.431	1.118
	312.250	-2.596	-0.828	1.749	2.431	1.123
	313.250	-2.393	-1.055	1.318	2.431	1.126
	314.250	-2.230	-1.235	0.972	2.431	1.126
	315.250	-2.083	-1.389	0.671	2.431	1.123
	316.250	-1.954	-1.512	0.416	2.431	1.121
	317.250	-1.834	-1.630	0.179	2.431	1.118
	318.250	-1.731	-1.741	-0.037	2.431	1.118
	319.250	-1.634	-1.847	-0.240	2.431	1.119
	320.250	-1.540	-1.946	-0.435	2.431	1.121
	321.250	-1.410	-2.074	-0.693	2.431	1.124
	322.250	-1.242	-2.233	-1.020	2.431	1.126
	323.250	-1.043	-2.424	-1.413	2.431	1.125
	324.250	-0.812	-2.660	-1.881	2.431	1.122
	325.250	-0.551	-2.926	-2.411	2.431	1.118
	326.250	-0.357	-3.123	-2.803	2.431	1.123
	327.250	-0.357	-3.157	-2.838	2.431	1.145
	328.250	-0.357	-3.186	-2.867	2.431	1.159
	329.250	-0.356	-3.223	-2.905	2.431	1.165
	330.250	-0.355	-3.253	-2.935	2.431	1.163
	331.250	-0.355	-3.248	-2.931	2.431	1.151
	332.250	-0.355	-3.211	-2.894	2.431	1.134
	333.250	-0.395	-3.107	-2.748	2.431	1.113
	334.250	-0.688	-2.807	-2.154	2.431	1.118
	335.250	-0.942	-2.569	-1.661	2.431	1.122
	336.250	-1.150	-2.371	-1.252	2.431	1.125
